motif_id,motif,mage_prob_importance,mage_binary_importance
41,*c1ccc(*)c(*)c1,0.9046931266784668,0
42,*C(C)=O,0.763850748538971,0
43,*C(=*)C(*)(C)C(*)C(*)C(*)C(*)(*)C,0.9335213303565979,0
44,*CCC(*)O,0.7908536791801453,0
45,*C(N)=O,0.8146580457687378,0
46,*c1ccncc1,0.8350958824157715,0
47,*N1CCN(*)CC1,0.7999964952468872,0
48,*c1cccc(Cl)c1,0.886360764503479,0
49,*N1CCN(C)CC1,0.7818262577056885,0
50,*C(*)=C,0.8450884819030762,0
51,*c1c(O)ccc(Cl)c1*,0.832636833190918,0
52,*C(=*)O,0.7608303427696228,0
53,*C(=*)C(*)*,0.8515215516090393,0
54,*C(*)C(*)(*)O,0.7886654138565063,0
55,*C(=O)C(C(=O)C(*)*)=C(N)O,0.6231826543807983,0
56,*C(*)O,0.7608303427696228,0
57,*C1CN(*)CCN1*,0.8280803561210632,0
58,*N1CCC(O)C1,0.7275838255882263,0
59,*c1ccccc1*,0.8946734070777893,0
60,*CN,0.8220046758651733,0
61,*C1OC(*)C(O)C(O)C1N,0.5854851603507996,0
62,*C1C(N)CC(N)C(*)C1O,0.7486366033554077,0
63,*C1OC(*)C(O)C(N)C1O,0.5561910271644592,0
64,*CO,0.7280097007751465,0
65,*CC(*)*,0.8431436419487,0
66,*C(*)*,0.8333505988121033,0
67,*c1cccc(*)c1*,0.9057757258415222,0
68,*CC(*)C*,0.8577420115470886,0
69,*c1ccc(*)c(*)c1*,0.9103617072105408,0
70,*OCO*,0.6576377749443054,0
71,*C(O)C(Cl)(Cl)Cl,0.899614155292511,0
72,*S*,0.8599019050598145,0
73,*CCO,0.7487002611160278,0
74,*CCCC(*)*,0.8805618286132812,0
75,*C(F)(F)F,0.9548028111457825,0
76,*c1cccc(*)c1,0.8923301100730896,0
77,*N1CCCCC1,0.8621992468833923,0
78,*C(C)C,0.8369927406311035,0
79,*C1CCCCC1,0.8755491375923157,0
80,*CCCC*,0.8727559447288513,0
81,*CC(N)=O,0.8000271320343018,0
82,*C(=O)C(*)=NOC,0.8082423210144043,0
83,*SCC(*)=C(*)*,0.8987966179847717,0
84,*c1nnnn1C,0.8272300958633423,0
85,*c1csc(N)n1,0.7547071576118469,0
86,*C(*)CC,0.8602772951126099,0
87,*c1c(O)oc2ccccc2c1=O,0.6468239426612854,0
88,*ON=C(*)C(*)=O,0.7827143669128418,0
89,*CC(=O)O,0.4996117353439331,0
90,*c1ccc(O)cc1,0.8113738894462585,0
91,*c1ccnc(*)c1,0.8652431964874268,0
92,*N1CCOCC1,0.8146440386772156,0
93,*c1[nH]c2ccccc2c1*,0.912542998790741,0
94,*N(*)C,0.8237982392311096,0
95,*c1ccc(Cl)c(Cl)c1,0.8909050822257996,0
96,*c1ccc(Cl)cc1*,0.900026798248291,0
97,*C(*)C(*)*,0.8515215516090393,0
98,*C(=O)C(*)(C)C,0.8112102746963501,0
99,*N1CCC(*)(*)CC1,0.8697235584259033,0
100,*C1CCC(N)C(*)O1,0.8760467171669006,0
101,*C(=O)CN,0.744825005531311,0
102,*c1ccccn1,0.8654529452323914,0
103,*N1CCNCC1,0.7862595915794373,0
104,*C1=C(C)NC(C)=C(*)C1*,0.8963257670402527,0
105,*[N+](=O)[O-],0.8229494690895081,0
106,*CC=C,0.8413203954696655,0
107,*C(O)CN,0.744825005531311,0
108,*c1cccc(O)c1,0.8127583265304565,0
109,*C(*)=*,0.833350658416748,0
110,*CCC(*)=O,0.7908536791801453,0
111,*CC(C)C(*)*,0.8795687556266785,0
112,*C=CC(=O)C=*,0.7980186939239502,0
113,*CC=O,0.7487002611160278,0
114,*C1OC(C)C(*)C(*)C1O,0.8377394676208496,0
115,*C1OC(*)C(O)C(O)C1O,0.4786289632320404,0
116,*c1ccc(*)cc1,0.8941318988800049,0
117,*c1ccc(O)c(O)c1,0.691596269607544,0
118,*S(N)(=O)=O,0.6306710839271545,0
119,*CC(C)C(*)(*)O,0.8286510109901428,0
120,*C#N,0.8220046758651733,0
121,*c1c(Cl)cccc1Cl,0.8906136751174927,0
122,*N1CCCC1,0.8533071279525757,0
123,*c1ccc(O)c(*)c1*,0.840580403804779,0
124,*c1nc2ccccc2c(*)c1*,0.9256253838539124,0
125,*CCCC(=O)O,0.5240876078605652,0
126,*C(=O)C(*)C,0.7940493226051331,0
127,*C1CC1,0.840621292591095,0
128,*C(*)(*)O,0.7809367179870605,0
129,*CC(*)C(*)=O,0.7940895557403564,0
130,*S(*)(=O)=O,0.7031551599502563,0
131,*C(C)(C)C,0.8485798239707947,0
132,*CC(*)N(*)C*,0.8614330291748047,0
133,*c1c(*)c(O)c(*)c(*)c1O,0.738182008266449,0
134,*c1c(O)c(=O)ccn1*,0.5998367071151733,0
135,*C1CC(*)(C)C(O)C(C)O1,0.8402116894721985,0
