motif_id,motif,mage_usage_frequency
197,*c1cc2c(cc1F)c(=O)c(*)cn2*,0.002322880318388343
198,*C(C)(C)C(=O)O,0.008130080997943878
199,*C(C)O,0.006968641187995672
200,*CC(*)(O)CC(*)O*,0.005807200912386179
201,*C1CC(N)C(O)C(C)O1,0.003484320593997836
202,*C(*)(*)N,0.0011614401591941714
203,*NCNS(*)(=O)=O,0.004645760636776686
204,*SCC(C)=C(*)*,0.003484320593997836
205,*c1ccc(N)cc1,0.002322880318388343
206,*c1csc(N=C(N)N)n1,0.003484320593997836
207,*=C(CC)c1ccc(O)cc1,0.005807200912386179
208,*C(*)C(C)Cl,0.003484320593997836
209,*C(C(*)C(*)(*)C)C(*)C(*)(C)C(*)*,0.004645760636776686
210,*C1OC(*)C(O)C(O)C1*,0.005807200912386179
211,*C1C(O)C(O)C(N=C(N)N)C(O)C1N=C(N)N,0.0
212,*c1noc(C)c1*,0.006968641187995672
213,*CCC(*)C,0.003484320593997836
214,*N1CC(=O)NC(=O)C1,0.008130080997943878
215,*c1ccc(C)nc1,0.002322880318388343
216,*C1CC(O)C(*)C(C)O1,0.003484320593997836
217,*c1ncc(*)c(=O)[nH]1,0.005807200912386179
218,*SCC(C=C)=C(*)*,0.002322880318388343
219,*C(*)C(*)(C)C(*)C(*)C(*)(O)C(*)(*)C,0.005807200912386179
220,*C1=CC(=O)OC1,0.0011614401591941714
-1,UNK,0.0
