motif_id,motif,mage_prob_importance,label_0_score,label_1_score
48,*c1cccc(Cl)c1,0.8649747371673584,0.001485752989538014,2.432878864055965e-05
49,*N1CCN(C)CC1,0.7007396221160889,1.3039654731983319e-05,0.0014832245651632547
50,*C(*)=C,0.7971027493476868,0.002462883712723851,0.013609283603727818
51,*c1c(O)ccc(Cl)c1*,0.8186340928077698,0.000943570164963603,0.0030126278288662434
52,*C(=*)O,0.6832993030548096,0.0018525428604334593,0.013951938599348068
53,*C(=*)C(*)*,0.8592731952667236,0.004084272310137749,0.021164149045944214
54,*C(*)C(*)(*)O,0.8028123378753662,0.002217708621174097,0.009209289215505123
55,*C(=O)C(C(=O)C(*)*)=C(N)O,0.6429547667503357,0.00018592184642329812,0.0013188475277274847
56,*C(*)O,0.6832993030548096,0.0011588840279728174,0.005725761875510216
57,*C1CN(*)CCN1*,0.7878117561340332,6.680538353975862e-05,0.0009646635153330863
58,*N1CCC(O)C1,0.6160393357276917,0.0001562743855174631,0.0013890963746234775
59,*c1ccccc1*,0.8712034225463867,0.0025836038403213024,0.000473079300718382
60,*CN,0.7056993842124939,0.0004604918649420142,0.023631175979971886
61,*C1OC(*)C(O)C(O)C1N,0.5777886509895325,1.127688756241696e-05,0.002110480098053813
62,*C1C(N)CC(N)C(*)C1O,0.7437355518341064,0.00011448893928900361,0.0037944752257317305
63,*C1OC(*)C(O)C(N)C1O,0.5758911371231079,3.387967080925591e-05,0.0016989464638754725
64,*CO,0.6007073521614075,0.0035888548009097576,0.0404173843562603
65,*CC(*)*,0.8291332721710205,0.014503036625683308,0.002023659646511078
66,*C(*)*,0.8046029806137085,0.004546611104160547,0.0071145324036479
67,*c1cccc(*)c1*,0.8926959037780762,0.0018182131461799145,0.0040043615736067295
68,*CC(*)C*,0.8466622233390808,0.011088195256888866,0.0009792554192245007
69,*c1ccc(*)c(*)c1*,0.9109571576118469,0.003227115608751774,0.000350817950675264
70,*OCO*,0.5208720564842224,0.0012207739055156708,0.0022167349234223366
71,*C(O)C(Cl)(Cl)Cl,0.824755072593689,0.0015040045836940408,1.7520628716738429e-06
